物品ID,GroupID,名字,物品类,物品小类,使用国籍,使用职业,使用职业分支,使用等级,天境等级,叠放数量,买入基础价格,卖出基础价格,基础物品档次,拾取后广播标志,拥有最多个数,能否放快捷栏,绑定标志位,使用期限,死亡掉落固定概率,物品栏图片_正常,物品栏图片_高亮,物品栏图片_无效,物品图标光效ID,宝箱外观资源ID,宝箱闪烁资源ID,是否任务物品,描述,任务物品丢弃时可以配置,使用次数,作用id,浮动提示,是否需要掷骰子,是否同步扩展数据,怪物掉装的音效ID,跨服海盗,物品价值/礼包售价,价值类型0普通1礼包2绑金,家园仓库0不可1可
2112,2112,挑衅卷轴,2,2,0,0,10000,0,,20,100,1,1,1,0,0,126,0,0,1673,1673,1673,0,4427,1008,0,右键点击使用<br><br>[green]可释放技能吸引周围多个敌对目标对你进行攻击[/green]<br><br><br><br>幻象洞窟怪物产出，只能在幻象洞窟地图使用,,1,2112,,0,0,0,0,1,0,0
2113,2113,天宇玄冰卷轴,2,2,0,1,10000,0,,20,100,1,1,1,0,0,126,0,0,1675,1675,1675,0,4427,1008,0,选定敌对目标或空地，右键点击使用<br><br>[green]持续施法使目标区域下起暴雪，对区域内的多个敌人每秒造成一次伤害，共持续6秒，每次伤害约为41点[/green]<br><br><br><br>幻象洞窟怪物产出，只能在幻象洞窟地图使用,,1,2113,,0,0,0,0,1,0,0
2114,2114,冰封术卷轴,2,2,0,1,10000,0,,20,100,1,1,1,0,0,126,0,0,1676,1676,1676,0,4427,1008,0,选定敌对目标，右键点击使用<br><br>[green]可释放技能冰封一个敌对目标[/green]<br><br><br><br>幻象洞窟怪物产出，只能在幻象洞窟地图使用,,1,2114,,0,0,0,0,1,0,0
2115,2115,疾光电卷轴,2,2,0,2,10000,0,,20,100,1,1,1,0,0,126,0,0,1672,1672,1672,0,4427,1008,0,选定敌对目标或空地，右键点击使用<br><br>[green]聚集周围的九幽灵雷，迅速施放出去，对目标造成约46点伤害，灵雷球会弹射向距离目标最近的下一个单位造成伤害，最多弹射5次[/green]<br><br><br><br>幻象洞窟怪物产出，只能在幻象洞窟地图使用,,1,2115,,0,0,0,0,1,0,0
2116,2116,蚀骨咒卷轴,2,2,0,2,10000,0,,20,100,1,1,1,0,0,126,0,0,1677,1677,1677,0,4427,1008,0,选定敌对目标，右键点击使用<br><br>[green]降低单个敌人的攻击力101点，防御力178点，持续8秒[/green]<br><br><br><br>幻象洞窟怪物产出，只能在幻象洞窟地图使用,,1,2116,,0,0,0,0,1,0,0
2117,2117,万剑归宗卷轴,2,2,0,3,10000,0,,20,100,1,1,1,0,0,126,0,0,1678,1678,1678,0,4427,1008,0,选定敌对目标或空地，右键点击使用<br><br>[green]攻击前方区域内多个敌人，造成约44点伤害[/green]<br><br><br><br>幻象洞窟怪物产出，只能在幻象洞窟地图使用,,1,2117,,0,0,0,0,1,0,0
2118,2118,治疗术卷轴,2,2,0,3,10000,0,,20,100,1,1,1,0,0,126,0,0,1679,1679,1679,0,4427,1008,0,选定友好目标，右键点击使用<br><br>[green]治疗一友方目标，使其恢复682点生命[/green]<br><br><br><br>幻象洞窟怪物产出，只能在幻象洞窟地图使用,,1,2118,,0,0,0,0,1,0,0
2119,2119,灵气之酒,2,12,0,10000,10000,0,,100,100,1,1,33,0,0,61,0,0,1690,1690,1690,0,4427,1008,0,右键点击使用<br>[yellow]杀怪时可获得双倍经验效果，持续时间：10分钟[/yellow]<br>[green]仅幻象洞窟可以使用，切换地图或上下线将失去效果[/green],,1,2119,,3,0,0,0,1,0,0
2120,2120,幻魔盒,2,2,0,10000,10000,0,,20,100,1,1,1,0,0,1,0,0,1680,1680,1680,0,4427,1008,0,技能书，对应技能30001,,1,0,,0,0,0,0,1,0,0
2121,2121,封魔卷轴,2,2,0,10000,10000,0,,20,100,1,1,1,0,0,126,0,0,1683,1683,1683,0,4427,1008,0,选定敌对目标，右键点击使用<br><br>[green]对幻象洞窟的沉睡魔树使用可封印其自然之力[/green]<br><br>可通过击败幻象洞窟的千年古树获得,,1,2121,,0,0,0,0,1,0,0
2122,2122,[坐骑]骏马,2,3,0,10000,10000,20,,1,100,1,7,1,0,0,126,0,0,2108,2108,2108,0,4427,1008,0,30级以上可在青龙城(32，48)驯兽师处驯服获得<br>[red]在无尽之洋无法骑乘[/red],,1,2122,,1,1,0,0,1,0,0
2123,2123,唤兽笛,2,3,0,10000,10000,30,,1,100,1,1,1,0,0,126,0,0,1684,1684,1684,0,4427,1008,0,唤兽笛，可以召唤出你所拥有的坐骑,,0,0,,0,0,0,0,1,0,0
2124,2124,仙气丹,2,1,0,10000,10000,0,,20,100,1,7,1,0,0,124,0,0,1694,1694,1694,0,4427,1008,0,右键点击可得到与仙气丹价值相等的商城道具海芋。,,1,2124,,1,0,0,0,1,0,0
2125,2125,延寿丹,2,1,0,10000,10000,0,,20,100000,1,7,1,0,0,124,0,0,1695,1695,1695,0,4427,1008,0,右键点击可得到与延寿丹价值相等的商城道具海芋。,,1,2125,,1,0,0,0,1,0,0
2126,2126,[坐骑]神兽(1级),2,3,0,10000,10000,30,,1,100,1,7,33,0,0,124,0,0,2123,2123,2123,0,4427,1008,0,可在商城购买获得<br>[red]在无尽之洋无法骑乘[/red],,1,2126,,3,1,0,0,1999,0,0
2127,2127,[坐骑]惊天蝎(1级),2,3,0,10000,10000,30,,1,100,1,7,33,0,0,124,0,0,2114,2114,2114,0,4427,1008,0,可在商城购买获得<br>[red]在无尽之洋无法骑乘[/red],,1,2127,,3,1,0,0,5888,0,0
2128,2128,[坐骑]狂狮(1级),2,3,0,10000,10000,30,,1,100,1,7,33,0,0,124,0,0,2126,2126,2126,0,4427,1008,0,可在商城购买获得<br>[red]在无尽之洋无法骑乘[/red],,1,2128,,3,1,0,0,999,0,0
2129,2129,乾坤炉,2,3,0,10000,10000,0,,1,100,1,1,1,0,0,61,0,0,1221,1221,1221,0,4427,1008,0,右键点击打开，可进行材料转换<br><br>[yellow]乾坤炉可在各地杂货商处购买获得[/yellow],,1,2129,,0,0,0,0,1,0,0
2130,2130,魔龙摄魂符,2,12,0,10000,10000,0,,20,100,1,1,1,0,0,126,0,0,1216,1216,1216,0,4427,1008,0,任务物品<br><br><br><br>只能在幽冥副本地图使用<br>可对冥界探秘任务中的幼魔龙使用,,0,2130,,0,0,0,0,1,0,0
2131,2131,冥界宝箱,2,3,0,10000,10000,0,,50,100,1,1,1,0,0,61,0,0,1681,1681,1681,0,4427,1008,0,神秘的宝箱<br>冥界副本中的冥界飞贼被攻击时有概率掉落<br><br><br><br>打开宝箱有机会获得[item]2146[/item]以及各种材料,,1,2131,,1,0,0,0,1,0,0
2132,2132,九幽密钥,2,3,0,10000,10000,0,,50,100,1,1,1,0,0,61,0,0,1689,1689,1689,0,4427,1008,0,可用于打开冥界宝箱<br><br><br><br>冥界副本中部份怪物有概率掉落,,1,2132,,1,0,0,0,1,0,0
2133,2133,玄武药水,2,12,0,10000,10000,0,,20,100,1,1,1,0,0,126,0,0,1703,1703,1703,0,4427,1008,0,任务物品<br><br><br><br>幽冥副本中的魔龙被攻击时有概率掉落，只能在幽冥副本地图使用<br><br><br><br>使用后将不能移动，获得无敌效果,,1,2133,,0,0,0,0,1,0,0
2134,2134,兄弟同心,2,3,0,10000,10000,0,,20,100,1,1,1,0,0,61,0,0,1339,1339,1339,0,4427,1008,0,兄弟同心,,1,0,,0,0,0,0,1,0,0
2135,2135,海誓笺,2,12,0,10000,10000,0,,1,100,0,1,1,0,0,1,0,0,1698,1698,1698,0,4427,1008,1,结婚任务道具,,1,2135,,0,0,0,0,1,0,0
2136,2136,山盟锁,2,12,0,10000,10000,0,,1,100,0,1,1,0,0,1,0,0,1699,1699,1699,0,4427,1008,1,结婚任务道具,,1,2136,,0,0,0,0,1,0,0
2138,2138,喜帖,2,12,0,10000,10000,0,,1,8800,1,1,1,0,0,126,0,0,1696,1696,1696,0,4427,1008,0,喜庆物品，结婚后可以在月老处购买得到，可赠送给亲朋好友<br><br><br>右键点击打开喜帖可传送到月老处，也可以随机兑换魂石等神秘奖励,,1,2138,,0,1,0,0,1,0,0
2139,2139,结婚礼包,2,12,0,10000,10000,0,,20,100,1,1,1,0,0,126,0,0,1697,1697,1697,0,4427,1008,0,喜庆物品,,1,2139,,0,0,0,0,1,0,0
2140,2140,烟花,2,12,0,10000,10000,0,,20,100,1,1,1,0,0,126,0,0,1351,1351,1351,0,4427,1008,0,喜庆物品,,1,2140,,0,0,0,0,1,0,0
2141,2141,结婚礼炮,2,12,0,10000,10000,0,,20,100,1,1,1,0,0,126,0,0,1351,1351,1351,0,1003,1008,0,喜庆物品，使用后可燃放烟花,,1,2141,,0,0,0,0,1,0,0
2142,2142,赐福红包,2,12,0,10000,10000,10,,20,100,1,1,1,0,0,61,0,0,1696,1696,1696,0,4427,1008,0,右键点击使用，打开可获得各种丰富而神秘的新年礼品<br>[blue]通过[npc]15052[/npc]处的赐福红包任务获得[/blue],,1,2142,,0,0,0,0,1,0,0
2143,2143,情缘宝盒,2,12,0,10000,10000,10,,20,100,1,1,1,0,0,126,0,0,1328,1328,1328,0,4427,1008,0,右键点击使用，打开可获得各种神秘的情缘礼品<br>[blue]通过参与情缘活动获得[/blue],,1,2143,,0,0,0,0,1,0,0
2144,2144,程序测试物品,2,12,0,10000,10000,10,,20,100,1,1,1,0,0,126,0,0,1204,1204,1204,0,4427,1008,0,程序测试物品，如果你发现了，赶紧报告BUG,,1,2144,,0,0,0,0,1,0,0
2145,2145,[坐骑]玄雪飞狐(1级),2,3,0,10000,10000,30,,1,100,1,7,33,0,0,124,0,0,2120,2120,2120,0,4427,1008,0,可在商城购买获得<br>[red]在无尽之洋无法骑乘[/red],,1,2145,,3,1,0,0,6888,0,0
2146,2146,狂狮之魂,2,3,0,10000,10000,30,,1,100,1,7,33,0,0,126,0,0,37,37,37,0,4427,1008,0,右键点击使用，可与[item]2147[/item]融合成[item]2128[/item]<br><br><br><br>[green]通过开启[item]2131[/item]有概率得到[/green],,1,2146,,3,0,0,0,1,0,0
2147,2147,狂狮之魄,2,3,0,10000,10000,30,,1,100,1,7,33,0,0,126,0,0,18,18,18,0,4427,1008,0,右键点击使用，可与[item]2146[/item]融合成[item]2128[/item]<br><br><br><br>[green]击倒啸天狮王和如意塔副本中的首领“天魔”有概率得到[/green],,1,2147,,3,0,0,0,1,0,0
2148,2148,神兽之魂,2,3,0,10000,10000,30,,1,100,1,7,33,0,0,126,0,0,28,28,28,0,4427,1008,0,右键点击使用，可与[item]2149[/item]融合成[item]2126[/item]<br><br><br><br>[green]击倒“勇闯魔尊府”副本中的屠戮者、巫妖、沉沦魔尊、左修罗、右修罗有概率得到[/green],,1,2148,,3,0,0,0,1,0,0
2149,2149,神兽之魄,2,3,0,10000,10000,30,,1,100,1,7,33,0,0,126,0,0,39,39,39,0,4427,1008,0,右键点击使用，可与[item]2148[/item]融合成[item]2126[/item]<br><br><br><br>[green]在[npc]10044[/npc]处以功勋兑换得到[/green],,1,2149,,3,0,0,0,1,0,0
2150,2150,赤炎丹,2,1,0,10000,10000,0,,100,100,0,7,1,0,0,1,0,0,1182,1182,1182,0,4427,1008,1,[blue]这是一种非常珍贵的丹药，常用来喂养在天界飞翔的仙鹤[/blue],,1,2150,,1,0,0,0,1,0,0
2151,2151,[坐骑]灰色马,2,3,0,10000,10000,20,,1,100,1,7,33,0,0,124,0,0,2109,2109,2109,0,4427,1008,0,达到60级可到落日沙漠驯马场（51，26）采集牧草驯服获得<br>[red]在无尽之洋无法骑乘[/red],,1,2151,,3,1,0,0,1,0,0
2152,2152,[坐骑]白鬃马,2,3,0,10000,10000,20,,1,100,1,7,33,0,0,124,0,0,2110,2110,2110,0,4427,1008,0,达到60级可到落日沙漠驯马场（51，26）采集牧草驯服获得<br>[red]在无尽之洋无法骑乘[/red],,1,2152,,3,1,0,0,1,0,0
2153,2153,[坐骑]栗色马,2,3,0,10000,10000,20,,1,100,1,7,33,0,0,124,0,0,2108,2108,2108,0,4427,1008,0,达到60级可到落日沙漠驯马场（51，26）采集牧草驯服获得<br>[red]在无尽之洋无法骑乘[/red],,1,2153,,3,1,0,0,1,0,0
2154,2154,[坐骑]骏马,2,3,0,10000,10000,20,,1,100,1,7,33,0,0,124,0,0,2108,2108,2108,0,4427,1008,0,达到60级可到落日沙漠驯马场（51，26）采集牧草驯服获得<br>[red]在无尽之洋无法骑乘[/red],,1,2154,,3,1,0,0,1,0,0
2155,2155,[坐骑]汗血宝马,2,3,0,10000,10000,20,,1,100,1,7,33,0,0,124,0,0,2112,2112,2112,0,4427,1008,0,达到60级可到落日沙漠驯马场（51，26）采集牧草驯服获得<br>[red]在无尽之洋无法骑乘[/red],,1,2155,,3,1,0,0,1,0,0
2156,2156,[坐骑]大宛马,2,3,0,10000,10000,20,,1,100,1,7,33,0,0,124,0,0,2111,2111,2111,0,4427,1008,0,达到60级可到落日沙漠驯马场（51，26）采集牧草驯服获得<br>[red]在无尽之洋无法骑乘[/red],,1,2156,,3,1,0,0,1,0,0
2157,2157,[双人坐骑]无极剑(25级),2,3,0,10000,10000,20,,1,1588,1,7,33,0,0,124,0,0,2166,2166,2166,0,4427,1008,0,传说中的飞剑，拥有者可御剑飞行，瞬息千里！<br>[red]在无尽之洋无法骑乘[/red],,1,2157,,3,0,0,0,158800,0,0
2158,2158,[体验坐骑]火凤凰,2,3,0,10000,10000,1,,1,100,1,7,33,0,0,124,0,0,2192,2192,2192,0,4427,1008,0,开启获得坐骑火凤凰（体验）10天,,1,2158,,3,0,0,0,1,0,0
2171,2171,五行宝盒,2,16,0,10000,10000,10,,20,100,1,1,0,0,0,124,0,0,1327,1327,1327,0,4427,1008,0,通过挑战五行副本获得副本积分，使用副本积分兑换获得<br><br><br>打开可获得丰富奖励,,1,2171,,1,0,0,0,1,0,0
2172,2172,灵气之酒,2,1,0,10000,10000,0,,20,100,1,7,32,0,0,124,0,0,1690,1690,1690,0,4427,1008,0,商城道具<br><br><br><br>使用后杀怪可获得双倍经验，持续1小时<br><br><br><br>[green]双倍效果不能叠加[/green],,1,2172,,3,0,0,0,1,0,0
2173,2173,家族传信烟火,2,16,0,10000,10000,0,,10,400000,80000,7,32,0,0,124,0,0,1742,1742,1742,0,4427,1008,0,[blue]家族成员间的相互联络、召集同伴的信号烟火，使用后可迅速召集60级以上的在线家族成员[/blue]<br><br>[yellow]一次性道具，高级杂货商和道具商城有售[/yellow][red](允许在国内野外、各国沙漠、中立区及国王争霸赛地图使用，冷却时间：180秒)[/red],,0,2173,,3,0,0,0,1,0,0
2174,2174,帮会传信烟火,2,16,0,10000,10000,0,,10,1000000,200000,7,32,0,0,124,0,0,1741,1741,1741,0,4427,1008,0,[blue]帮会帮主、副帮主召集帮众的信号烟火，使用后可让60级以上的在线帮众迅速集结到帮主身边[/blue]<br><br>[yellow]一次性道具，高级杂货商和道具商城有售[/yellow][red](允许在国内野外、各国沙漠、中立区及国王争霸赛地图使用，冷却时间：180秒)[/red],,0,2174,,3,0,0,0,1,0,0
2175,2175,遁地符,2,16,0,10000,10000,10,,9999,60000,12000,7,32,0,0,124,0,0,1215,1215,1215,0,4427,1008,0,[blue]融入奇门遁甲之术的灵符，能把使用者在瞬间传送到指定队友的身边[/blue]<br><br>[yellow]一次性道具，高级杂货商和道具商城有售[/yellow][red](允许在国内野外、各国沙漠、中立区使用)[/red],,0,2175,,3,0,0,0,30,0,0
2176,2176,[体验坐骑]玄雪狐,2,3,0,10000,10000,1,,1,100,1,7,1,0,0,1,0,0,2122,2122,2122,0,4427,1008,0,右键点击使用可获得体验坐骑玄雪狐，获得坐骑7天后坐骑将自动消失<br><br>[red]注意该坐骑不能进行生产<br>在无尽之洋无法骑乘[/red],,1,2176,,0,1,0,0,1,0,0
2177,2177,[体验坐骑]紫麒麟,2,3,0,10000,10000,1,,1,100,1,7,1,0,0,1,0,0,2125,2125,2125,0,4427,1008,0,右键点击使用可获得体验坐骑紫麒麟，获得坐骑7天后坐骑将自动消失<br><br>[red]注意该坐骑不能进行生产<br>在无尽之洋无法骑乘[/red],,1,2177,,0,1,0,0,1,0,0
2178,2178,[体验坐骑]望天吼,2,3,0,10000,10000,1,,1,100,1,7,1,0,0,1,0,0,2128,2128,2128,0,4427,1008,0,右键点击使用可获得体验坐骑望天吼，获得坐骑7天后坐骑将自动消失<br><br>[red]注意该坐骑不能进行生产<br>在无尽之洋无法骑乘[/red],,1,2178,,0,1,0,0,1,0,0
2179,2179,[体验坐骑]闹天蝎,2,3,0,10000,10000,1,,1,100,1,7,1,0,0,1,0,0,2116,2116,2116,0,4427,1008,0,右键点击使用可获得体验坐骑闹天蝎，获得坐骑7天后坐骑将自动消失<br><br>[red]注意该坐骑不能进行生产<br>在无尽之洋无法骑乘[/red],,1,2179,,0,1,0,0,1,0,0
2180,2180,灵气之酒(小),2,1,0,10000,10000,0,,20,100,1,7,0,0,0,124,0,0,1690,1690,1690,0,4427,1008,0,商城道具<br><br><br><br>使用后杀怪可获得1.5倍经验，持续1小时<br><br><br><br>[green]双倍效果不能叠加[/green],,1,2180,,1,0,0,0,1,0,0
2181,2181,灵气之酒(中),2,1,0,10000,10000,0,,20,100,1,7,0,0,0,124,0,0,1690,1690,1690,0,4427,1008,0,商城道具<br><br><br><br>使用后杀怪可获得2倍经验，持续1小时<br><br><br><br>[green]双倍效果不能叠加[/green],,1,2181,,1,0,0,0,1,0,0
2182,2182,灵气之酒(大),2,1,0,10000,10000,0,,20,100,1,7,0,0,0,124,0,0,1690,1690,1690,0,4427,1008,0,商城道具<br><br><br><br>使用后杀怪可获得3倍经验，持续1小时<br><br><br><br>[green]双倍效果不能叠加[/green],,1,2182,,1,0,0,0,1,0,0
2183,2183,普通婚礼礼包,2,16,0,10000,10000,0,,1,100,1,7,32,0,0,124,0,0,1696,1696,1696,0,4427,1008,0,商城道具<br><br><br><br>[blue]普通的婚礼大礼包，进行普通婚礼游行需要的道具<br>夫妻双方还可以获得丰厚奖励<br><br>结婚后可在月老处申请举行婚礼游行[/blue]<br><br>[yellow]相亲相爱幸福永，同德同心幸福长！[/yellow],,0,0,,3,0,0,0,888,0,0
2184,2184,豪华婚礼礼包,2,16,0,10000,10000,0,,1,100,1,7,32,0,0,124,0,0,1697,1697,1697,0,4427,1008,0,商城道具<br><br><br><br>[blue]豪华的婚礼大礼包，进行豪华婚礼游行需要的道具<br>夫妻双方还可以获得大量丰厚奖励<br><br>结婚后可在月老处申请举行婚礼游行[/blue]<br><br>[yellow]白首齐眉鸳鸯比翼，青阳启瑞桃李同心！[/yellow],,0,0,,3,0,0,0,3999,0,0
2185,2185,大力丸,2,16,0,10000,10000,0,,20,100,1,7,32,0,0,124,0,0,1697,1697,1697,0,4427,1008,0,增加攻击,,0,0,,3,0,0,0,1,0,0
2186,2186,神行太保,2,16,0,10000,10000,0,,20,100,1,7,32,0,0,124,0,0,1697,1697,1697,0,4427,1008,0,自由传送,,0,0,,3,0,0,0,1,0,0
2187,2187,如意门,2,16,0,10000,10000,0,,1,100,1,7,32,0,0,124,0,0,1765,1765,1765,0,4427,1008,0,商城道具<br><br><br><br>神行如意，如意神行<br><br>如意门可以立即送您去各个地图以及热门区域,,0,2187,,3,1,0,0,1,0,0
2188,2188,[坐骑]麒麟(1级),2,3,0,10000,10000,30,,1,100,1,7,33,0,0,124,0,0,2117,2117,2117,0,4427,1008,0,可在商城购买获得<br>[red]在无尽之洋无法骑乘[/red],,1,2188,,3,1,0,0,1999,0,0
2189,2189,[坐骑]巨狮(1级),2,3,0,10000,10000,30,,1,100,1,7,33,0,0,124,0,0,2126,2126,2126,0,4427,1008,0,可在商城购买获得<br>[red]在无尽之洋无法骑乘[/red],,1,2189,,3,1,0,0,999,0,0
2190,2190,骏马延寿丹,2,1,0,10000,10000,0,,20,200000,1,7,1,0,0,124,0,0,1695,1695,1695,0,4427,1008,0,[blue]延寿丹，可用于延长骏马坐骑寿命10点[/blue],,1,2190,,1,0,0,0,1,0,0
2191,2191,雷兽延寿丹,2,1,0,10000,10000,0,,20,200000,1,7,1,0,0,124,0,0,1695,1695,1695,0,4427,1008,0,[blue]延寿丹，可用于延长雷兽坐骑寿命10点[/blue],,1,2191,,1,0,0,0,1,0,0
2192,2192,魔蝎延寿丹,2,1,0,10000,10000,0,,20,200000,1,7,1,0,0,124,0,0,1695,1695,1695,0,4427,1008,0,[blue]延寿丹，可用于延长魔蝎坐骑寿命10点[/blue],,1,2192,,1,0,0,0,1,0,0
2193,2193,飞狐延寿丹,2,1,0,10000,10000,0,,20,200000,1,7,1,0,0,124,0,0,1695,1695,1695,0,4427,1008,0,[blue]延寿丹，可用于延长飞狐坐骑寿命10点[/blue],,1,2193,,1,0,0,0,1,0,0
2194,2194,神兽延寿丹,2,1,0,10000,10000,0,,20,200000,1,7,1,0,0,124,0,0,1695,1695,1695,0,4427,1008,0,[blue]延寿丹，可用于延长神兽坐骑寿命10点[/blue],,1,2194,,1,0,0,0,1,0,0
2195,2195,巨狮延寿丹,2,1,0,10000,10000,0,,20,200000,1,7,1,0,0,124,0,0,1695,1695,1695,0,4427,1008,0,[blue]延寿丹，可用于延长巨狮坐骑寿命10点[/blue],,1,2195,,1,0,0,0,1,0,0
2196,2196,狂狮延寿丹,2,1,0,10000,10000,0,,20,200000,1,7,1,0,0,124,0,0,1695,1695,1695,0,4427,1008,0,[blue]延寿丹，可用于延长狂狮坐骑寿命10点[/blue],,1,2196,,1,0,0,0,1,0,0
2197,2197,国王专属坐骑,2,3,0,10000,10000,30,,1,100,1,7,33,0,0,124,0,0,1688,1688,1688,0,4427,1008,0,成为国王后即可获得<br>[red]在无尽之洋无法骑乘[/red],,1,2197,,3,1,0,0,1,0,0
2198,2198,皇帝专属坐骑,2,3,0,10000,10000,30,,1,100,1,7,33,0,0,124,0,0,1688,1688,1688,0,4427,1008,0,成为皇帝后即可获得<br>[red]在无尽之洋无法骑乘[/red],,1,2198,,3,1,0,0,1,0,0
2199,2199,仙鹤封印珠,2,3,0,10000,10000,1,,1,100,1,7,33,0,0,13,0,0,1686,1686,1686,0,4427,1008,0,体验坐骑，点击右键使用可以解开封印获得坐骑[yellow]仙鹤[/yellow]<br><br>[red]该坐骑解开封印后只能使用七天，且不可升级，不可续命[/red]<br><br>[green]右键打开封印，按T键上下坐骑[/green],,1,2199,,3,0,0,0,1,0,0
2200,2200,[坐骑]麒麟(25级),2,3,0,10000,10000,30,,1,100,1,7,33,0,0,124,0,0,2119,2119,2119,0,4427,1008,0,可在商城购买获得<br>[red]在无尽之洋无法骑乘[/red],,1,2200,,3,1,0,0,46600,0,0
22000,22000,神符,2,12,0,10000,10000,0,,10,100,0,1,1,0,1,61,0,0,1215,1215,1215,0,4427,1008,1,任务物品，寄有乐仙元神的神符。,,0,0,,1,0,0,0,1,0,0
2201,2201,[坐骑]巨狮(25级),2,3,0,10000,10000,30,,1,100,1,7,33,0,0,124,0,0,2128,2128,2128,0,4427,1008,0,可在商城购买获得<br>[red]在无尽之洋无法骑乘[/red],,1,2201,,3,1,0,0,36800,0,0
2202,2202,[坐骑]神兽(25级),2,3,0,10000,10000,30,,1,100,1,7,33,0,0,124,0,0,2125,2125,2125,0,4427,1008,0,可在商城购买获得<br>[red]在无尽之洋无法骑乘[/red],,1,2202,,3,1,0,0,46600,0,0
2203,2203,[坐骑]惊天蝎(25级),2,3,0,10000,10000,30,,1,100,1,7,33,0,0,124,0,0,2116,2116,2116,0,4427,1008,0,可在商城购买获得<br>[red]在无尽之洋无法骑乘[/red],,1,2203,,3,1,0,0,50600,0,0
2204,2204,[坐骑]狂狮(25级),2,3,0,10000,10000,30,,1,100,1,7,33,0,0,124,0,0,2128,2128,2128,0,4427,1008,0,可在商城购买获得<br>[red]在无尽之洋无法骑乘[/red],,1,2204,,3,1,0,0,36800,0,0
2205,2205,[坐骑]玄雪飞狐(25级),2,3,0,10000,10000,30,,1,100,1,7,33,0,0,124,0,0,2122,2122,2122,0,4427,1008,0,可在商城购买获得<br>[red]在无尽之洋无法骑乘[/red],,1,2205,,3,1,0,0,68800,0,0
2206,2206,[坐骑]小新,2,3,0,10000,10000,1,,1,100,1,7,33,0,0,45,0,0,2135,2135,2135,0,4427,1008,0,右键点击使用可获得体验坐骑小新，获得坐骑30天后坐骑将自动消失<br><br>[red]注意该坐骑不能进行生产<br>在无尽之洋无法骑乘[/red],,1,2206,此物品已失效,3,1,0,0,1,0,0
